,var,vsa,vca,initTime,solveTime,solutions,variables,propagators,propagations,nodes,failures,restarts,peakDepth
324,ea,anti_first_fail,indomain_min,0.735823,180.269,0.0,5925.0,2322.0,165805101.0,1373532.0,686760.0,0.0,25.0
325,ea,anti_first_fail,indomain_random,0.684118,180.245,0.0,5925.0,2322.0,132299563.0,587446.0,293717.0,0.0,27.0
326,ea,anti_first_fail,indomain_reverse_split,0.668254,180.246,0.0,5925.0,2322.0,128446723.0,666717.0,333336.0,0.0,63.0
327,ea,anti_first_fail,indomain_split,0.664436,180.245,0.0,5925.0,2322.0,174744819.0,1441945.0,720946.0,0.0,73.0
328,ea,anti_first_fail,indomain_split_random,0.670403,180.245,0.0,5925.0,2322.0,171274764.0,1420014.0,710001.0,0.0,25.0
329,ea,dom_w_deg,indomain,0.667631,180.244,0.0,5925.0,2322.0,172822377.0,1348312.0,724091.0,0.0,25.0
330,ea,dom_w_deg,indomain_max,0.693946,180.246,0.0,5925.0,2322.0,129032874.0,586019.0,293003.0,0.0,27.0
331,ea,dom_w_deg,indomain_median,0.666779,180.245,0.0,5925.0,2322.0,171562092.0,1449856.0,724922.0,0.0,25.0
332,ea,dom_w_deg,indomain_min,0.664708,180.245,0.0,5925.0,2322.0,171331200.0,1439012.0,719500.0,0.0,25.0
333,ea,dom_w_deg,indomain_random,0.694772,180.246,0.0,5925.0,2322.0,128581487.0,582033.0,291010.0,0.0,27.0
334,ea,dom_w_deg,indomain_reverse_split,0.666237,180.245,0.0,5925.0,2322.0,130848295.0,673359.0,336658.0,0.0,63.0
335,ea,dom_w_deg,indomain_split,0.729365,180.255,0.0,5925.0,2322.0,172399040.0,1447798.0,723874.0,0.0,73.0
336,ea,dom_w_deg,indomain_split_random,0.664683,180.245,0.0,5925.0,2322.0,172727494.0,1450963.0,725475.0,0.0,25.0
337,ea,first_fail,indomain,0.662707,180.261,0.0,5925.0,2322.0,172192434.0,1343286.0,721392.0,0.0,25.0
338,ea,first_fail,indomain_max,0.664419,180.268,0.0,5925.0,2322.0,130657489.0,593433.0,296710.0,0.0,27.0
339,ea,first_fail,indomain_median,0.661969,180.268,0.0,5925.0,2322.0,171197005.0,1446790.0,723389.0,0.0,25.0
340,ea,first_fail,indomain_min,0.665848,180.268,0.0,5925.0,2322.0,165422392.0,1388433.0,694211.0,0.0,25.0
341,ea,first_fail,indomain_random,,,,,,,,,,
342,ea,first_fail,indomain_reverse_split,0.724418,180.245,0.0,5925.0,2322.0,125459691.0,645550.0,322754.0,0.0,63.0
343,ea,first_fail,indomain_split,0.70351,180.252,0.0,5925.0,2322.0,166282599.0,1395482.0,697716.0,0.0,73.0
344,ea,first_fail,indomain_split_random,0.682527,180.257,0.0,5925.0,2322.0,171268420.0,1438470.0,719229.0,0.0,25.0
345,ea,impact,indomain,0.670172,180.247,0.0,5925.0,2322.0,171983761.0,1341626.0,720500.0,0.0,25.0
346,ea,impact,indomain_max,0.680556,180.25,0.0,5925.0,2322.0,129215072.0,586851.0,293419.0,0.0,27.0
347,ea,impact,indomain_median,0.671635,180.245,0.0,5925.0,2322.0,170675922.0,1442462.0,721224.0,0.0,25.0
348,ea,impact,indomain_min,0.670068,180.245,0.0,5925.0,2322.0,173275985.0,1455656.0,727822.0,0.0,25.0
349,ea,impact,indomain_random,,,,,,,,,,
350,ea,impact,indomain_reverse_split,0.731395,180.252,0.0,5925.0,2322.0,128912364.0,663247.0,331603.0,0.0,63.0
351,ea,impact,indomain_split,0.727178,180.268,0.0,5925.0,2322.0,167910501.0,1409402.0,704676.0,0.0,73.0
