,var,vsa,vca,initTime,solveTime,solutions,variables,propagators,propagations,nodes,failures,restarts,peakDepth
43,P,largest,indomain_median,0.787553,18.5117,2.0,4911.0,3667.0,4258179.0,17819.0,8901.0,0.0,122.0
44,P,largest,indomain_min,1.17095,19.5067,2.0,4911.0,3667.0,4298015.0,15037.0,7512.0,0.0,75.0
45,P,largest,indomain_random,0.844332,35.0224,6.0,4911.0,3667.0,8625684.0,36680.0,18306.0,0.0,85.0
46,P,largest,indomain_reverse_split,0.804893,26.8313,6.0,4911.0,3667.0,6990891.0,25156.0,12563.0,0.0,58.0
47,P,largest,indomain_split,0.812136,16.4855,2.0,4911.0,3667.0,4297359.0,15037.0,7512.0,0.0,75.0
48,P,largest,indomain_split_random,0.802879,16.6328,2.0,4911.0,3667.0,4298015.0,15037.0,7512.0,0.0,75.0
49,P,max_regret,indomain,0.800386,13.8354,2.0,4911.0,3667.0,3574303.0,14261.0,7743.0,0.0,74.0
50,P,max_regret,indomain_max,0.802845,23.6825,7.0,4911.0,3667.0,6359332.0,23525.0,11745.0,0.0,58.0
51,P,max_regret,indomain_median,0.802178,16.2707,2.0,4911.0,3667.0,4294755.0,18527.0,9257.0,0.0,115.0
52,P,max_regret,indomain_min,0.872007,13.3899,2.0,4911.0,3667.0,3544781.0,12588.0,6290.0,0.0,76.0
53,P,max_regret,indomain_random,0.853844,23.4152,4.0,4911.0,3667.0,6143772.0,24265.0,12118.0,0.0,83.0
54,P,max_regret,indomain_reverse_split,0.83475,24.8897,5.0,4911.0,3667.0,6338050.0,23408.0,11691.0,0.0,58.0
55,P,max_regret,indomain_split,0.811869,13.1551,2.0,4911.0,3667.0,3542505.0,12616.0,6304.0,0.0,76.0
56,P,max_regret,indomain_split_random,0.806068,13.8554,2.0,4911.0,3667.0,3544781.0,12588.0,6290.0,0.0,76.0
57,P,most_constrained,indomain,0.802906,13.3823,3.0,4911.0,3667.0,3624995.0,15968.0,10022.0,0.0,74.0
58,P,most_constrained,indomain_max,0.789028,27.0209,8.0,4911.0,3667.0,7013873.0,26685.0,13330.0,0.0,55.0
59,P,most_constrained,indomain_median,0.783855,14.3541,3.0,4911.0,3667.0,4195964.0,21119.0,10557.0,0.0,95.0
60,P,most_constrained,indomain_min,0.852434,15.2045,3.0,4911.0,3667.0,4000203.0,13699.0,6847.0,0.0,73.0
61,P,most_constrained,indomain_random,0.863749,21.3225,4.0,4911.0,3667.0,5594973.0,23767.0,11880.0,0.0,72.0
62,P,most_constrained,indomain_reverse_split,0.80656,28.5351,8.0,4911.0,3667.0,7011966.0,26671.0,13323.0,0.0,55.0
63,P,most_constrained,indomain_split,0.838103,15.2461,3.0,4911.0,3667.0,3994785.0,13699.0,6847.0,0.0,73.0
64,P,most_constrained,indomain_split_random,0.775715,14.3002,3.0,4911.0,3667.0,4000203.0,13699.0,6847.0,0.0,73.0
65,P,occurrence,indomain,0.776422,13.5409,2.0,4911.0,3667.0,3574303.0,14261.0,7743.0,0.0,74.0
66,P,occurrence,indomain_max,0.844933,25.4191,7.0,4911.0,3667.0,6359332.0,23525.0,11745.0,0.0,58.0
67,P,occurrence,indomain_median,0.807639,16.0733,2.0,4911.0,3667.0,4294755.0,18527.0,9257.0,0.0,115.0
68,P,occurrence,indomain_min,0.784204,13.9539,2.0,4911.0,3667.0,3544781.0,12588.0,6290.0,0.0,76.0
69,P,occurrence,indomain_random,0.806586,24.4547,4.0,4911.0,3667.0,6126908.0,24126.0,12049.0,0.0,83.0
70,P,occurrence,indomain_reverse_split,0.804474,23.1508,5.0,4911.0,3667.0,6338050.0,23408.0,11691.0,0.0,58.0
71,P,occurrence,indomain_split,0.786257,12.8526,2.0,4911.0,3667.0,3542505.0,12616.0,6304.0,0.0,76.0
72,P,occurrence,indomain_split_random,0.790462,12.848,2.0,4911.0,3667.0,3544775.0,12588.0,6290.0,0.0,76.0
73,P,smallest,indomain,0.783035,13.3018,2.0,4911.0,3667.0,3574309.0,14261.0,7743.0,0.0,74.0
74,P,smallest,indomain_max,0.776006,23.1456,7.0,4911.0,3667.0,6359332.0,23525.0,11745.0,0.0,58.0
75,P,smallest,indomain_median,0.783586,15.6274,2.0,4911.0,3667.0,4294755.0,18527.0,9257.0,0.0,115.0
76,P,smallest,indomain_min,0.790668,12.8638,2.0,4911.0,3667.0,3544781.0,12588.0,6290.0,0.0,76.0
77,P,smallest,indomain_random,0.785073,22.7376,4.0,4911.0,3667.0,6143772.0,24265.0,12118.0,0.0,83.0
78,P,smallest,indomain_reverse_split,0.775898,23.1662,5.0,4911.0,3667.0,6338050.0,23408.0,11691.0,0.0,58.0
79,P,smallest,indomain_split,0.779457,13.1452,2.0,4911.0,3667.0,3542511.0,12616.0,6304.0,0.0,76.0
80,P,smallest,indomain_split_random,0.800829,13.2806,2.0,4911.0,3667.0,3544781.0,12588.0,6290.0,0.0,76.0
81,X,anti_first_fail,indomain,0.783915,7.86583,7.0,4911.0,3667.0,2339489.0,3475.0,2036.0,0.0,13.0
82,X,anti_first_fail,indomain_max,0.774648,300.284,0.0,4911.0,3667.0,72300414.0,234689.0,117342.0,0.0,27.0
83,X,anti_first_fail,indomain_median,,,,,,,,,,
84,X,anti_first_fail,indomain_min,,,,,,,,,,
85,X,anti_first_fail,indomain_random,,,,,,,,,,
86,X,anti_first_fail,indomain_reverse_split,,,,,,,,,,
87,X,anti_first_fail,indomain_split,,,,,,,,,,
88,X,anti_first_fail,indomain_split_random,,,,,,,,,,
89,X,dom_w_deg,indomain,0.843517,5.63474,7.0,4911.0,3667.0,1603528.0,2541.0,1652.0,0.0,14.0
90,X,dom_w_deg,indomain_max,0.80914,5.43917,5.0,4911.0,3667.0,1507690.0,3303.0,1647.0,0.0,23.0
