city,time,unsat
Visano,4.1705855800028075,False
Visano,3.730465448999894,True
Visano,4.226415612996789,False
Visano,3.849806168000214,False
Visano,3.876445241003239,False
Visano,3.747987483999168,False
Visano,3.9274526460067136,False
Visano,4.421159586003341,False
Visano,3.6321355609979946,True
Visano,3.8896432719993754,False
Visano,3.6461984560010023,True
Visano,3.6366213120054454,False
Visano,3.7989938919999986,True
Visano,3.882246611996379,False
Asola,9.146244750998449,False
Asola,10.458064818005369,True
Asola,9.014335562998895,False
Asola,9.96766511000169,True
Asola,10.154991818999406,False
Asola,8.78569585099467,True
Asola,8.492404534001253,True
Asola,9.726717275996634,False
Asola,9.632728518001386,False
Asola,8.830694329997641,False
Asola,8.735256292995473,True
Asola,9.712050643000111,False
Asola,9.007115225002053,True
Asola,9.764684007997857,False
Asola,9.511389342005714,False
Asola,9.013516343999072,False
Montichiari,59.2792759179938,True
Montichiari,56.54339264900045,True
Montichiari,53.26267457300128,False
Montichiari,54.57193398399977,True
Montichiari,52.70909456299705,False
Montichiari,51.92494766800519,True
Montichiari,49.61252518300171,False
Montichiari,51.980234652000945,False
Montichiari,57.679506578002474,False
Montichiari,50.75201348400151,False
Montichiari,49.374311002997274,True
Montichiari,51.06543987400073,True
Montichiari,51.332095139994635,False
Montichiari,50.49869804299669,False
Montichiari,54.30833443300071,False
Montichiari,55.79849771500449,False
Brescia,301.43531204000465,False
Brescia,300.9331344329985,False
Brescia,301.0335913090021,False
Brescia,301.5128227910027,False
Brescia,300.87592471300013,False
Brescia,301.1907846890026,False
Brescia,300.9515917719982,False
Brescia,300.897606008999,False
Brescia,300.83954447200085,False
Brescia,300.57449990799796,False
Roma,301.19660046399804,False
Roma,302.5062668000028,False
Roma,300.9012494359995,False
Roma,301.81598219099396,False
Roma,302.25381280299916,False
Roma,301.47918975900393,False
Roma,300.7908932999999,False
Roma,300.85399486700044,False
Roma,302.32518783300475,False
Roma,300.8354728760023,False
