,var,vsa,vca,initTime,solveTime,solutions,variables,propagators,propagations,nodes,failures,restarts,peakDepth
65,P,first_fail,indomain_max,0.787052,16.3416,5.0,5925.0,2322.0,6035698.0,40322.0,20153.0,0.0,35.0
66,P,first_fail,indomain_min,0.805108,17.4202,11.0,5925.0,2322.0,6287857.0,36405.0,18189.0,0.0,25.0
67,P,first_fail,indomain_min,0.907711,17.6784,11.0,5925.0,2322.0,6282954.0,36405.0,18189.0,0.0,25.0
68,P,first_fail,indomain_min,0.875915,16.5649,11.0,5925.0,2322.0,6282954.0,36405.0,18189.0,0.0,25.0
69,P,first_fail,indomain_min,0.904176,17.7298,11.0,5925.0,2322.0,6287857.0,36405.0,18189.0,0.0,25.0
70,P,first_fail,indomain_min,0.915564,17.6104,11.0,5925.0,2322.0,6282954.0,36405.0,18189.0,0.0,25.0
71,P,first_fail,indomain_random,,,,,,,,,,
72,P,first_fail,indomain_random,,,,,,,,,,
73,P,first_fail,indomain_random,,,,,,,,,,
74,P,first_fail,indomain_random,,,,,,,,,,
75,P,first_fail,indomain_random,,,,,,,,,,
76,P,first_fail,indomain_reverse_split,0.957772,18.1542,5.0,5925.0,2322.0,6032380.0,40320.0,20152.0,0.0,35.0
77,P,first_fail,indomain_reverse_split,0.832236,17.487,5.0,5925.0,2322.0,6032380.0,40320.0,20152.0,0.0,35.0
78,P,first_fail,indomain_reverse_split,,,,,,,,,,
79,P,first_fail,indomain_reverse_split,0.952186,19.5161,5.0,5925.0,2322.0,6032380.0,40320.0,20152.0,0.0,35.0
80,P,first_fail,indomain_reverse_split,0.901525,18.6964,5.0,5925.0,2322.0,6032380.0,40320.0,20152.0,0.0,35.0
81,P,first_fail,indomain_split,0.887292,17.5826,11.0,5925.0,2322.0,6282954.0,36405.0,18189.0,0.0,25.0
82,P,first_fail,indomain_split,0.884638,17.2248,11.0,5925.0,2322.0,6287670.0,36405.0,18189.0,0.0,25.0
83,P,first_fail,indomain_split,0.863021,17.0426,11.0,5925.0,2322.0,6282954.0,36405.0,18189.0,0.0,25.0
84,P,first_fail,indomain_split,0.856327,17.0877,11.0,5925.0,2322.0,6282954.0,36405.0,18189.0,0.0,25.0
85,P,first_fail,indomain_split,0.882501,17.8055,11.0,5925.0,2322.0,6283141.0,36405.0,18189.0,0.0,25.0
86,P,first_fail,indomain_split_random,0.918652,17.8643,11.0,5925.0,2322.0,6266570.0,36405.0,18189.0,0.0,25.0
87,P,first_fail,indomain_split_random,0.870039,15.4724,11.0,5925.0,2322.0,6266570.0,36405.0,18189.0,0.0,25.0
88,P,first_fail,indomain_split_random,0.790767,17.2909,11.0,5925.0,2322.0,6266570.0,36405.0,18189.0,0.0,25.0
89,P,first_fail,indomain_split_random,0.914042,17.8439,11.0,5925.0,2322.0,6266570.0,36405.0,18189.0,0.0,25.0
90,P,first_fail,indomain_split_random,0.908911,17.7554,11.0,5925.0,2322.0,6266570.0,36405.0,18189.0,0.0,25.0
91,P,impact,indomain,0.900287,6.43863,10.0,5925.0,2322.0,3553411.0,22827.0,12355.0,0.0,26.0
92,P,impact,indomain,0.795571,5.65756,10.0,5925.0,2322.0,3553411.0,22827.0,12355.0,0.0,26.0
93,P,impact,indomain,0.831109,5.61266,10.0,5925.0,2322.0,3553825.0,22827.0,12355.0,0.0,26.0
94,P,impact,indomain,0.900499,6.4166,10.0,5925.0,2322.0,3553825.0,22827.0,12355.0,0.0,26.0
95,P,impact,indomain,0.887063,6.42254,10.0,5925.0,2322.0,3553495.0,22827.0,12355.0,0.0,26.0
96,P,impact,indomain_max,1.01444,7.26312,6.0,5925.0,2322.0,3574984.0,19717.0,9851.0,0.0,33.0
97,P,impact,indomain_max,1.00073,6.94515,6.0,5925.0,2322.0,3574984.0,19717.0,9851.0,0.0,33.0
98,P,impact,indomain_max,0.897357,6.43147,6.0,5925.0,2322.0,3575130.0,19717.0,9851.0,0.0,33.0
99,P,impact,indomain_max,0.908601,6.46553,6.0,5925.0,2322.0,3574984.0,19717.0,9851.0,0.0,33.0
100,P,impact,indomain_max,0.892195,6.05899,6.0,5925.0,2322.0,3574984.0,19717.0,9851.0,0.0,33.0
101,P,impact,indomain_min,0.807949,5.62723,10.0,5925.0,2322.0,3553379.0,21545.0,10760.0,0.0,25.0
102,P,impact,indomain_min,0.90331,6.38245,10.0,5925.0,2322.0,3553025.0,21545.0,10760.0,0.0,25.0
103,P,impact,indomain_min,0.888178,6.28361,10.0,5925.0,2322.0,3553025.0,21545.0,10760.0,0.0,25.0
104,P,impact,indomain_min,0.951713,6.29853,10.0,5925.0,2322.0,3553025.0,21545.0,10760.0,0.0,25.0
105,P,impact,indomain_min,0.891922,6.22971,10.0,5925.0,2322.0,3553025.0,21545.0,10760.0,0.0,25.0
106,P,impact,indomain_random,0.90111,7.41064,6.0,5925.0,2322.0,4127225.0,25233.0,12608.0,0.0,36.0
107,P,impact,indomain_random,0.933804,7.39795,6.0,5925.0,2322.0,4126654.0,25233.0,12608.0,0.0,36.0
108,P,impact,indomain_random,0.890793,6.71489,6.0,5925.0,2322.0,4126654.0,25233.0,12608.0,0.0,36.0
109,P,impact,indomain_random,0.894181,6.42148,6.0,5925.0,2322.0,4126654.0,25233.0,12608.0,0.0,36.0
110,P,impact,indomain_random,0.788493,6.26852,6.0,5925.0,2322.0,4126654.0,25233.0,12608.0,0.0,36.0
111,P,impact,indomain_reverse_split,0.788628,5.71382,6.0,5925.0,2322.0,3622300.0,19553.0,9769.0,0.0,32.0
112,P,impact,indomain_reverse_split,0.788075,5.57485,6.0,5925.0,2322.0,3622300.0,19553.0,9769.0,0.0,32.0
113,P,impact,indomain_reverse_split,0.792562,6.08937,6.0,5925.0,2322.0,3622300.0,19553.0,9769.0,0.0,32.0
114,P,impact,indomain_reverse_split,0.895955,6.41699,6.0,5925.0,2322.0,3622300.0,19553.0,9769.0,0.0,32.0
115,P,impact,indomain_reverse_split,0.888023,6.43267,6.0,5925.0,2322.0,3622464.0,19553.0,9769.0,0.0,32.0
116,P,impact,indomain_split,0.884144,6.32346,10.0,5925.0,2322.0,3551593.0,21545.0,10760.0,0.0,25.0
117,P,impact,indomain_split,0.923537,6.62276,10.0,5925.0,2322.0,3551593.0,21545.0,10760.0,0.0,25.0
118,P,impact,indomain_split,0.89107,6.29703,10.0,5925.0,2322.0,3551593.0,21545.0,10760.0,0.0,25.0
119,P,impact,indomain_split,0.906481,6.41714,10.0,5925.0,2322.0,3551593.0,21545.0,10760.0,0.0,25.0
120,P,impact,indomain_split,0.889051,5.91118,10.0,5925.0,2322.0,3542290.0,21545.0,10760.0,0.0,25.0
121,P,impact,indomain_split_random,0.808334,5.55675,10.0,5925.0,2322.0,3543662.0,21545.0,10760.0,0.0,25.0
122,P,impact,indomain_split_random,0.807461,5.49519,10.0,5925.0,2322.0,3543662.0,21545.0,10760.0,0.0,25.0
123,P,impact,indomain_split_random,0.810588,5.58523,10.0,5925.0,2322.0,3543662.0,21545.0,10760.0,0.0,25.0
124,P,impact,indomain_split_random,0.898987,6.27084,10.0,5925.0,2322.0,3543662.0,21545.0,10760.0,0.0,25.0
125,P,impact,indomain_split_random,0.889298,6.35698,10.0,5925.0,2322.0,3543662.0,21545.0,10760.0,0.0,25.0
126,P,input_order,indomain,0.937234,6.40686,10.0,5925.0,2322.0,3553825.0,22827.0,12355.0,0.0,26.0
127,P,input_order,indomain,0.884842,6.58423,10.0,5925.0,2322.0,3553825.0,22827.0,12355.0,0.0,26.0
128,P,input_order,indomain,0.926346,6.5638,10.0,5925.0,2322.0,3553411.0,22827.0,12355.0,0.0,26.0
129,P,input_order,indomain,0.897799,7.00578,10.0,5925.0,2322.0,3553411.0,22827.0,12355.0,0.0,26.0
130,P,input_order,indomain,1.30802,7.27413,10.0,5925.0,2322.0,3553825.0,22827.0,12355.0,0.0,26.0
131,P,input_order,indomain_max,0.931763,5.78281,6.0,5925.0,2322.0,3575090.0,19717.0,9851.0,0.0,33.0
132,P,input_order,indomain_max,0.781741,5.51375,6.0,5925.0,2322.0,3574984.0,19717.0,9851.0,0.0,33.0
133,P,input_order,indomain_max,0.89562,6.31815,6.0,5925.0,2322.0,3574984.0,19717.0,9851.0,0.0,33.0
134,P,input_order,indomain_max,0.894988,6.53592,6.0,5925.0,2322.0,3574984.0,19717.0,9851.0,0.0,33.0
135,P,input_order,indomain_max,0.944877,6.55063,6.0,5925.0,2322.0,3574984.0,19717.0,9851.0,0.0,33.0
136,P,input_order,indomain_min,0.95023,6.50167,10.0,5925.0,2322.0,3553379.0,21545.0,10760.0,0.0,25.0
137,P,input_order,indomain_min,0.900821,6.14173,10.0,5925.0,2322.0,3553025.0,21545.0,10760.0,0.0,25.0
138,P,input_order,indomain_min,0.876142,5.61913,10.0,5925.0,2322.0,3553025.0,21545.0,10760.0,0.0,25.0
139,P,input_order,indomain_min,0.80252,5.52353,10.0,5925.0,2322.0,3553025.0,21545.0,10760.0,0.0,25.0
140,P,input_order,indomain_min,0.90734,6.55206,10.0,5925.0,2322.0,3553025.0,21545.0,10760.0,0.0,25.0
141,P,input_order,indomain_random,0.982024,7.5179,6.0,5925.0,2322.0,4112861.0,25233.0,12608.0,0.0,36.0
142,P,input_order,indomain_random,0.911617,7.84966,6.0,5925.0,2322.0,4112290.0,25233.0,12608.0,0.0,36.0
143,P,input_order,indomain_random,0.896548,7.13243,6.0,5925.0,2322.0,4112290.0,25233.0,12608.0,0.0,36.0
144,P,input_order,indomain_random,0.919014,7.21495,6.0,5925.0,2322.0,4112290.0,25233.0,12608.0,0.0,36.0
145,P,input_order,indomain_random,0.90709,7.08441,6.0,5925.0,2322.0,4112290.0,25233.0,12608.0,0.0,36.0
146,P,input_order,indomain_reverse_split,0.817185,5.67748,6.0,5925.0,2322.0,3622300.0,19553.0,9769.0,0.0,32.0
147,P,input_order,indomain_reverse_split,0.802508,5.54752,6.0,5925.0,2322.0,3622300.0,19553.0,9769.0,0.0,32.0
148,P,input_order,indomain_reverse_split,0.775082,5.54796,6.0,5925.0,2322.0,3622300.0,19553.0,9769.0,0.0,32.0
149,P,input_order,indomain_reverse_split,0.776633,5.55759,6.0,5925.0,2322.0,3622300.0,19553.0,9769.0,0.0,32.0
150,P,input_order,indomain_reverse_split,0.778135,5.55553,6.0,5925.0,2322.0,3622300.0,19553.0,9769.0,0.0,32.0
151,P,input_order,indomain_split,0.78613,5.48973,10.0,5925.0,2322.0,3551593.0,21545.0,10760.0,0.0,25.0
152,P,input_order,indomain_split,0.778989,5.461,10.0,5925.0,2322.0,3551593.0,21545.0,10760.0,0.0,25.0
153,P,input_order,indomain_split,0.779142,5.48184,10.0,5925.0,2322.0,3551593.0,21545.0,10760.0,0.0,25.0
154,P,input_order,indomain_split,0.782051,5.48384,10.0,5925.0,2322.0,3551947.0,21545.0,10760.0,0.0,25.0
155,P,input_order,indomain_split,0.782442,5.49704,10.0,5925.0,2322.0,3551593.0,21545.0,10760.0,0.0,25.0
156,P,input_order,indomain_split_random,0.797603,5.60716,10.0,5925.0,2322.0,3543662.0,21545.0,10760.0,0.0,25.0
157,P,input_order,indomain_split_random,0.792153,5.63431,10.0,5925.0,2322.0,3543662.0,21545.0,10760.0,0.0,25.0
158,P,input_order,indomain_split_random,0.798581,5.7797,10.0,5925.0,2322.0,3543662.0,21545.0,10760.0,0.0,25.0
159,P,input_order,indomain_split_random,0.802568,5.70393,10.0,5925.0,2322.0,3543757.0,21545.0,10760.0,0.0,25.0
160,P,input_order,indomain_split_random,0.79223,5.52362,10.0,5925.0,2322.0,3543662.0,21545.0,10760.0,0.0,25.0
161,P,largest,indomain,0.825058,9.33686,10.0,5925.0,2322.0,4581997.0,71191.0,36794.0,0.0,26.0
162,P,largest,indomain,0.821233,9.52655,10.0,5925.0,2322.0,4581997.0,71191.0,36794.0,0.0,26.0
163,P,largest,indomain,0.800318,9.94584,10.0,5925.0,2322.0,4581997.0,71191.0,36794.0,0.0,26.0
164,P,largest,indomain,0.952314,10.6464,10.0,5925.0,2322.0,4581997.0,71191.0,36794.0,0.0,26.0
165,P,largest,indomain,0.804985,9.06546,10.0,5925.0,2322.0,4581997.0,71191.0,36794.0,0.0,26.0
166,P,largest,indomain_max,0.793494,5.68307,4.0,5925.0,2322.0,3989877.0,23917.0,11954.0,0.0,34.0
167,P,largest,indomain_max,0.798749,5.68498,4.0,5925.0,2322.0,3989877.0,23917.0,11954.0,0.0,34.0
168,P,largest,indomain_max,0.786275,5.65017,4.0,5925.0,2322.0,3989877.0,23917.0,11954.0,0.0,34.0
169,P,largest,indomain_max,0.786323,5.67222,4.0,5925.0,2322.0,3989877.0,23917.0,11954.0,0.0,34.0
170,P,largest,indomain_max,0.785855,5.6433,4.0,5925.0,2322.0,3989877.0,23917.0,11954.0,0.0,34.0
171,P,largest,indomain_min,0.787289,9.36283,10.0,5925.0,2322.0,4624969.0,68987.0,34482.0,0.0,26.0
172,P,largest,indomain_min,0.794394,9.04993,10.0,5925.0,2322.0,4624969.0,68987.0,34482.0,0.0,26.0
173,P,largest,indomain_min,0.862521,9.28608,10.0,5925.0,2322.0,4624969.0,68987.0,34482.0,0.0,26.0
174,P,largest,indomain_min,0.878434,9.52506,10.0,5925.0,2322.0,4624969.0,68987.0,34482.0,0.0,26.0
