city,N,d,unsat,initTime,solveTime,solutions,variables,propagators,propagations,nodes,failures,restarts,peakDepth
Visano,7,2,False,0.402583,0.17,1.0,3710.0,1525.0,22984.0,61.0,29.0,0.0,16.0
Visano,7,3,False,0.605441,0.359235,2.0,5561.0,2504.0,83510.0,184.0,84.0,0.0,24.0
Visano,7,3,False,0.556879,0.296734,1.0,5561.0,2510.0,92666.0,224.0,108.0,0.0,25.0
Visano,7,3,False,0.601124,0.245798,1.0,5555.0,2384.0,29376.0,87.0,39.0,0.0,25.0
Visano,8,1,True,0.198113,0.067951,0.0,1938.0,1079.0,3901.0,3.0,2.0,0.0,1.0
Visano,8,1,True,0.230798,0.076338,0.0,1932.0,0.0,3367.0,0.0,1.0,0.0,0.0
Visano,8,1,True,0.198459,0.071662,0.0,1932.0,614.0,4549.0,5.0,3.0,0.0,2.0
Visano,8,2,False,0.398199,0.174808,2.0,3839.0,1499.0,28231.0,75.0,35.0,0.0,11.0
Visano,8,2,False,0.446737,0.222375,4.0,4245.0,1736.0,43533.0,137.0,62.0,0.0,21.0
Visano,8,2,False,0.4723,0.409825,1.0,4245.0,1964.0,219503.0,2419.0,1208.0,0.0,30.0
Visano,8,3,False,0.571793,0.279313,1.0,5756.0,2406.0,70840.0,249.0,121.0,0.0,26.0
Visano,8,3,False,0.552769,0.259847,2.0,5750.0,2235.0,54520.0,135.0,62.0,0.0,23.0
Visano,8,3,False,0.715883,0.509888,3.0,6369.0,3224.0,165744.0,443.0,213.0,0.0,23.0
Visano,9,1,False,0.255486,0.110092,4.0,2391.0,871.0,14099.0,47.0,20.0,0.0,9.0
Visano,9,1,True,0.248296,5.6e-05,0.0,2387.0,0.0,0.0,0.0,1.0,0.0,0.0
Visano,9,1,False,0.218048,0.097587,2.0,2169.0,406.0,20867.0,139.0,68.0,0.0,11.0
Visano,9,2,False,0.50155,0.226297,1.0,4764.0,1589.0,43058.0,124.0,61.0,0.0,17.0
Visano,9,2,False,0.49379,0.346654,3.0,4780.0,2363.0,157734.0,674.0,334.0,0.0,21.0
Visano,9,2,False,0.421533,0.309711,6.0,4327.0,1818.0,143043.0,550.0,266.0,0.0,21.0
Visano,9,3,False,0.545434,0.568263,5.0,5776.0,2005.0,287684.0,1568.0,773.0,0.0,27.0
Visano,9,3,False,0.505658,1.18971,8.0,5782.0,2233.0,1700014.0,36335.0,18153.0,0.0,48.0
Visano,9,3,False,0.770413,0.353857,5.0,7147.0,2669.0,76085.0,334.0,150.0,0.0,25.0
Visano,10,1,True,0.295282,0.000155,0.0,2659.0,0.0,1339.0,0.0,1.0,0.0,0.0
Visano,10,1,False,0.244162,0.100429,1.0,2418.0,812.0,18974.0,113.0,56.0,0.0,8.0
Visano,10,1,False,0.301887,0.118995,4.0,2657.0,687.0,17793.0,99.0,46.0,0.0,9.0
Visano,10,2,False,0.551429,0.472092,5.0,5307.0,2304.0,220863.0,645.0,315.0,0.0,25.0
Visano,10,2,False,0.476266,0.261361,3.0,4807.0,2071.0,82006.0,346.0,170.0,0.0,19.0
Visano,10,2,False,0.556874,0.472095,2.0,5307.0,2304.0,190411.0,794.0,394.0,0.0,24.0
Visano,10,3,False,0.920319,0.607355,3.0,7949.0,2885.0,320936.0,2256.0,1122.0,0.0,29.0
Visano,10,3,False,0.737493,36.4024,9.0,7194.0,3195.0,92118199.0,1576353.0,788150.0,0.0,71.0
Visano,10,3,False,0.882268,1.36621,9.0,7949.0,3434.0,525009.0,1330.0,646.0,0.0,37.0
Visano,11,1,True,0.310864,0.128626,0.0,2927.0,875.0,10575.0,11.0,6.0,0.0,4.0
Visano,11,1,False,0.320852,0.135821,2.0,2919.0,473.0,16211.0,65.0,31.0,0.0,10.0
